alpha,level,metric,mean,std
0.5,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.5,major,hir,,
0.5,leaf,coverage,0.4984676145339649,0.0067408703288288
0.5,leaf,set_size_mean,0.5041611374407577,0.0069035010610025
0.5,leaf,set_size_median,0.76,0.4194262358829486
0.5,leaf,empty_rate,0.4958388625592412,0.0069035010610025
0.5,leaf,singleton_rate,0.5041611374407577,0.0069035010610025
0.5,leaf,top1_acc_non_empty,0.9887097559775552,0.0010867793303859
0.5,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.5,leaf,hir,,
